question_number	category	scales	hl_subscale	content_scale
472	Mental Health Screening	-	-	OBS
473	Personality Traits	-	-	-
474	Personality Traits	-	-	-
475	Personality Traits	-	-	-
476	Personality Traits	-	-	-
477	Personality Traits	-	-	-
478	Personality Traits	-	-	-
479	Personality Traits	-	-	-
480	Personality Traits	-	-	-
481	Personality Traits	-	-	-
482	Personality Traits	-	-	-
483	Personality Traits	-	-	-
484	Mental Health Screening	-	-	OBS
485	Clinical Scales	RC6	-	FRS
486	Personality Traits	-	-	-
487	Personality Traits	-	-	-
488	Personality Traits	-	-	-
489	Personality Traits	-	-	-
490	Personality Traits	-	-	-
491	Personality Traits	-	-	-
492	Personality Traits	-	-	-
493	Personality Traits	-	-	-
494	Personality Traits	-	-	-
495	Personality Traits	-	-	-
496	Clinical Scales	RC6	-	FRS
497	Personality Traits	-	-	-
498	Personality Traits	-	-	-
499	Personality Traits	-	-	-
500	Personality Traits	-	-	-
501	Personality Traits	-	-	-
502	Personality Traits	-	-	-
503	Personality Traits	-	-	-
504	Personality Traits	-	-	-
505	Personality Traits	-	-	-
506	Personality Traits	-	-	-
507	Personality Traits	-	-	-
508	Personality Traits	-	-	-
509	Personality Traits	-	-	-
510	Personality Traits	-	-	-
511	Personality Traits	-	-	-
512	Personality Traits	-	-	-
513	Personality Traits	-	-	-
514	Personality Traits	-	-	-
515	Personality Traits	-	-	-
516	Personality Traits	-	-	-
517	Personality Traits	-	-	-
518	Personality Traits	-	-	-
519	Personality Traits	-	-	-
520	Personality Traits	-	-	-
521	Personality Traits	-	-	-
522	Personality Traits	-	-	-
523	Personality Traits	-	-	-
524	Personality Traits	-	-	-
525	Personality Traits	-	-	-
526	Personality Traits	-	-	-
527	Personality Traits	-	-	-
528	Personality Traits	-	-	-
529	Personality Traits	-	-	-
530	Personality Traits	-	-	-
531	Personality Traits	-	-	-
532	Personality Traits	-	-	-
533	Personality Traits	-	-	-
534	Personality Traits	-	-	-
535	Personality Traits	-	-	-
536	Personality Traits	-	-	-
537	Personality Traits	-	-	-
538	Personality Traits	-	-	-
539	Personality Traits	-	-	-
540	Personality Traits	-	-	-
541	Personality Traits	-	-	-
542	Personality Traits	-	-	-
543	Personality Traits	-	-	-
544	Personality Traits	-	-	-
545	Personality Traits	-	-	-
546	Personality Traits	-	-	-
547	Personality Traits	-	-	-
548	Personality Traits	-	-	-
549	Personality Traits	-	-	-
550	Personality Traits	-	-	-
551	Personality Traits	-	-	-
552	Personality Traits	-	-	-
553	Personality Traits	-	-	-
554	Personality Traits	-	-	-
555	Personality Traits	-	-	-
556	Personality Traits	-	-	-
557	Personality Traits	-	-	-
558	Personality Traits	-	-	-
559	Personality Traits	-	-	-
560	Personality Traits	-	-	-
561	Personality Traits	-	-	-
562	Personality Traits	-	-	-
563	Personality Traits	-	-	-
564	Personality Traits	-	-	-
565	Personality Traits	-	-	-
566	Personality Traits	-	-	-
567	Personality Traits	-	-	-
